"Tabela 4 - Vitaminas na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Reti-
nol
(mcg)","Vitami-
na A
(RAE)
(mcg)","Tiami-
na
(mg)","Ribofla-
vina
(mg)","Niaci-
na
(mg)","Niaci-
na
(NE)
(mg)","Pirido-
xina
(mg)","Coba-
lami-
na
(mcg)","Folato
(DFE)
(mcg)","Vitami-
na D
(mcg)","Vitami-
na E
6502403,"Mini pizza semipronta",2,"Cozido(a)","27,21","33,64","0,37","0,32","2,99","6,00","0,07","0,48","106,53","0,03","0,80","1,93"
6502403,"Mini pizza semipronta",4,"Assado(a)","27,21","33,64","0,37","0,32","2,99","6,00","0,07","0,48","106,53","0,03","0,80","1,93"
6502403,"Mini pizza semipronta",5,"Frito(a)","27,21","33,64","0,37","0,32","2,99","6,00","0,07","0,48","106,53","0,03","0,80","1,93"
6502403,"Mini pizza semipronta",99,"Não se aplica","27,21","33,64","0,37","0,32","2,99","6,00","0,07","0,48","106,53","0,03","0,80","1,93"
6502501,"Fibra de soja",99,"Não se aplica","-","-","-","-","-","2,83","-","-","-","-","0,08","-"
6502603,"Minipastel",99,"Não se aplica","19,18","20,35","0,42","0,30","3,33","5,46","0,10","0,28","92,20","0,49","1,21","1,19"
6503401,"Macarrão ",1,"Cru(a)","-","-","0,27","0,14","1,69","3,07","0,05","-","123,30","-","0,06","-"
6503401,"Macarrão ",2,"Cozido(a)","-","-","0,27","0,14","1,69","3,07","0,05","-","123,30","-","0,06","-"
6503401,"Macarrão ",3,"Grelhado(a)/brasa/churrasco","-","-","0,27","0,14","1,69","3,07","0,05","-","123,30","-","0,06","-"
6503401,"Macarrão ",4,"Assado(a)","-","-","0,27","0,14","1,69","3,07","0,05","-","123,30","-","0,06","-"
