" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6501502,"Goma de mandioca",99,"Não se aplica","4,00","-","-","-","0,16","1,50","-","-","-","-","-"
6501505,"Sagu de mandioca",99,"Não se aplica","102,17","9,79","0,01","98,87","0,23","100,38","-","137,70","0,01","0,48","7,16"
6501510,"Farinha de tapioca",99,"Não se aplica","12,00","3,00","-","60,00","0,10","2,00","-","48,00","-","-","-"
6501511,"Farinha beiju",99,"Não se aplica","12,00","3,00","-","60,00","0,10","2,00","-","48,00","-","-","-"
6501515,"Sagu de tapioca",99,"Não se aplica","102,17","9,79","0,01","98,87","0,23","100,38","-","137,70","0,01","0,48","7,16"
6501516,"Tapioca de goma",99,"Não se aplica","4,00","-","-","-","0,16","1,50","-","-","-","-","-"
6502001,"Farinha láctea",99,"Não se aplica","2,93","-","-","303,33","6,00","126,67","-","-","-","-","-"
6502101,"Neston",99,"Não se aplica","508,00","-","-","550,00","12,50","550,00","-","-","-","-","-"
6502102,"Flocos de cereais",99,"Não se aplica","143,00","11,00","-","101,00","3,10","655,00","-","83,00","0,06","7,60","-"
6502105,"Vitaflocos",99,"Não se aplica","124,57","13,22","0,03","95,38","0,22","319,33","-","156,85","0,02","0,45","4,03"
6502403,"Mini pizza semipronta",1,"Cru(a)","166,42","18,91","0,32","170,58","2,22","444,42","-","140,69","0,09","1,03","19,27"
6502403,"Mini pizza semipronta",2,"Cozido(a)","166,42","18,91","0,32","170,58","2,22","444,42","-","140,69","0,09","1,03","19,27"
6502403,"Mini pizza semipronta",4,"Assado(a)","166,42","18,91","0,32","170,58","2,22","444,42","-","140,69","0,09","1,03","19,27"
6502403,"Mini pizza semipronta",5,"Frito(a)","166,42","18,91","0,32","170,58","2,22","444,42","-","140,69","0,09","1,03","19,27"
